Date,Ticker,Close,High,Low,Open,Volume
1962-01-02,AMZN,,,,,
1962-01-02,COST,,,,,
1962-01-02,INLF,,,,,
1962-01-02,JNJ,0.06202249974012375,0.06202249974012375,0.06170097590061359,0.0,0.0
1962-01-02,NVDA,,,,,
1962-01-02,UNH,,,,,
1962-01-02,WMT,,,,,
1962-01-02,ZSPC,,,,,
1962-01-03,AMZN,,,,,
1962-01-03,COST,,,,,
1962-01-03,INLF,,,,,
1962-01-03,JNJ,0.06105824187397957,0.0613797659054204,0.06105824187397957,0.0,345600.0
1962-01-03,NVDA,,,,,
1962-01-03,UNH,,,,,
1962-01-03,WMT,,,,,
1962-01-03,ZSPC,,,,,
1962-01-04,AMZN,,,,,
1962-01-04,COST,,,,,
1962-01-04,INLF,,,,,
1962-01-04,JNJ,0.060415707528591156,0.06137972456478063,0.060415707528591156,0.0,216000.0
1962-01-04,NVDA,,,,,
1962-01-04,UNH,,,,,
1962-01-04,WMT,,,,,
1962-01-04,ZSPC,,,,,
1962-01-05,AMZN,,,,,
1962-01-05,COST,,,,,
1962-01-05,INLF,,,,,
1962-01-05,JNJ,0.05945143848657608,0.05993344720896955,0.05945143848657608,0.0,129600.0
1962-01-05,NVDA,,,,,
1962-01-05,UNH,,,,,
1962-01-05,WMT,,,,,
1962-01-05,ZSPC,,,,,
1962-01-08,AMZN,,,,,
1962-01-08,COST,,,,,
1962-01-08,INLF,,,,,
1962-01-08,JNJ,0.058487433940172195,0.058969442768864296,0.05848743394017219,0.0,172800.0
1962-01-08,NVDA,,,,,
1962-01-08,UNH,,,,,
1962-01-08,WMT,,,,,
1962-01-08,ZSPC,,,,,
1962-01-09,AMZN,,,,,
1962-01-09,COST,,,,,
1962-01-09,INLF,,,,,
1962-01-09,JNJ,0.059130214154720306,0.059130214154720306,0.059130214154720306,0.0,43200.0
1962-01-09,NVDA,,,,,
1962-01-09,UNH,,,,,
1962-01-09,WMT,,,,,
1962-01-09,ZSPC,,,,,
1962-01-10,AMZN,,,,,
1962-01-10,COST,,,,,
1962-01-10,INLF,,,,,
1962-01-10,JNJ,0.060415707528591156,0.060415707528591156,0.059612175195609185,0.0,172800.0
1962-01-10,NVDA,,,,,
1962-01-10,UNH,,,,,
1962-01-10,WMT,,,,,
1962-01-10,ZSPC,,,,,
1962-01-11,AMZN,,,,,
1962-01-11,COST,,,,,
1962-01-11,INLF,,,,,
1962-01-11,JNJ,0.06009415537118912,0.060415679034434504,0.06009415537118912,0.0,172800.0
1962-01-11,NVDA,,,,,
1962-01-11,UNH,,,,,
1962-01-11,WMT,,,,,
1962-01-11,ZSPC,,,,,
1962-01-12,AMZN,,,,,
1962-01-12,COST,,,,,
1962-01-12,INLF,,,,,
1962-01-12,JNJ,0.05945143848657608,0.06041573313571663,0.05945143848657608,0.0,259200.0
1962-01-12,NVDA,,,,,
1962-01-12,UNH,,,,,
1962-01-12,WMT,,,,,
1962-01-12,ZSPC,,,,,
1962-01-15,AMZN,,,,,
1962-01-15,COST,,,,,
1962-01-15,INLF,,,,,
1962-01-15,JNJ,0.05945143848657608,0.05993344720896955,0.05945143848657608,0.0,129600.0
1962-01-15,NVDA,,,,,
1962-01-15,UNH,,,,,
1962-01-15,WMT,,,,,
1962-01-15,ZSPC,,,,,
1962-01-16,AMZN,,,,,
1962-01-16,COST,,,,,
1962-01-16,INLF,,,,,
1962-01-16,JNJ,0.059130214154720306,0.059933469928421364,0.059130214154720306,0.0,345600.0
1962-01-16,NVDA,,,,,
1962-01-16,UNH,,,,,
1962-01-16,WMT,,,,,
1962-01-16,ZSPC,,,,,
1962-01-17,AMZN,,,,,
1962-01-17,COST,,,,,
1962-01-17,INLF,,,,,
1962-01-17,JNJ,0.05945143848657608,0.0597729624377408,0.05913019173976497,0.0,259200.0
1962-01-17,NVDA,,,,,
1962-01-17,UNH,,,,,
1962-01-17,WMT,,,,,
1962-01-17,ZSPC,,,,,
1962-01-18,AMZN,,,,,
1962-01-18,COST,,,,,
1962-01-18,INLF,,,,,
1962-01-18,JNJ,0.05896942317485809,0.059130185132476684,0.058969423174858086,0.0,172800.0
1962-01-18,NVDA,,,,,
1962-01-18,UNH,,,,,
1962-01-18,WMT,,,,,
1962-01-18,ZSPC,,,,,
1962-01-19,AMZN,,,,,
1962-01-19,COST,,,,,
1962-01-19,INLF,,,,,
1962-01-19,JNJ,0.0596122071146965,0.0596122071146965,0.05929096033203524,0.0,129600.0
1962-01-19,NVDA,,,,,
1962-01-19,UNH,,,,,
1962-01-19,WMT,,,,,
1962-01-19,ZSPC,,,,,
1962-01-22,AMZN,,,,,
1962-01-22,COST,,,,,
1962-01-22,INLF,,,,,
1962-01-22,JNJ,0.05896942317485809,0.059130185132476684,0.058969423174858086,0.0,172800.0
1962-01-22,NVDA,,,,,
1962-01-22,UNH,,,,,
1962-01-22,WMT,,,,,
1962-01-22,ZSPC,,,,,
1962-01-23,AMZN,,,,,
1962-01-23,COST,,,,,
1962-01-23,INLF,,,,,
1962-01-23,JNJ,0.058487433940172195,0.059130204779899914,0.05848743394017219,0.0,259200.0
1962-01-23,NVDA,,,,,
1962-01-23,UNH,,,,,
1962-01-23,WMT,,,,,
1962-01-23,ZSPC,,,,,
1962-01-24,AMZN,,,,,
1962-01-24,COST,,,,,
1962-01-24,INLF,,,,,
1962-01-24,JNJ,0.05832662060856819,0.058487382478152265,0.05816613594315495,0.0,302400.0
1962-01-24,NVDA,,,,,
1962-01-24,UNH,,,,,
1962-01-24,WMT,,,,,
1962-01-24,ZSPC,,,,,
1962-01-25,AMZN,,,,,
1962-01-25,COST,,,,,
1962-01-25,INLF,,,,,
1962-01-25,JNJ,0.05816618725657463,0.05848743407497152,0.0580054252451685,0.0,129600.0
1962-01-25,NVDA,,,,,
1962-01-25,UNH,,,,,
1962-01-25,WMT,,,,,
1962-01-25,ZSPC,,,,,
1962-01-26,AMZN,,,,,
1962-01-26,COST,,,,,
1962-01-26,INLF,,,,,
1962-01-26,JNJ,0.05800541862845421,0.05848742740327418,0.0580054186284542,0.0,561600.0
1962-01-26,NVDA,,,,,
1962-01-26,UNH,,,,,
1962-01-26,WMT,,,,,
1962-01-26,ZSPC,,,,,
1962-01-29,AMZN,,,,,
1962-01-29,COST,,,,,
1962-01-29,INLF,,,,,
1962-01-29,JNJ,0.05880897119641304,0.05880897119641303,0.058166200212038326,0.0,216000.0
1962-01-29,NVDA,,,,,
1962-01-29,UNH,,,,,
1962-01-29,WMT,,,,,
1962-01-29,ZSPC,,,,,
1962-01-30,AMZN,,,,,
1962-01-30,COST,,,,,
1962-01-30,INLF,,,,,
1962-01-30,JNJ,0.058487433940172195,0.05961221360859202,0.05848743394017219,0.0,734400.0
1962-01-30,NVDA,,,,,
1962-01-30,UNH,,,,,
1962-01-30,WMT,,,,,
1962-01-30,ZSPC,,,,,
1962-01-31,AMZN,,,,,
1962-01-31,COST,,,,,
1962-01-31,INLF,,,,,
1962-01-31,JNJ,0.05977289751172066,0.05977289751172066,0.0589693657109681,0.0,345600.0
1962-01-31,NVDA,,,,,
1962-01-31,UNH,,,,,
1962-01-31,WMT,,,,,
1962-01-31,ZSPC,,,,,
1962-02-01,AMZN,,,,,
1962-02-01,COST,,,,,
1962-02-01,INLF,,,,,
1962-02-01,JNJ,0.060254938900470734,0.06025493890047074,0.059612168546625294,0.0,388800.0
1962-02-01,NVDA,,,,,
1962-02-01,UNH,,,,,
1962-02-01,WMT,,,,,
1962-02-01,ZSPC,,,,,
1962-02-02,AMZN,,,,,
1962-02-02,COST,,,,,
1962-02-02,INLF,,,,,
1962-02-02,JNJ,0.06314729154109955,0.06330777628905447,0.06041572437410493,0.0,2160000.0
1962-02-02,NVDA,,,,,
1962-02-02,UNH,,,,,
1962-02-02,WMT,,,,,
1962-02-02,ZSPC,,,,,
1962-02-05,AMZN,,,,,
1962-02-05,COST,,,,,
1962-02-05,INLF,,,,,
1962-02-05,JNJ,0.06587880849838257,0.06684282506863791,0.06491451472402507,0.0,1944000.0
1962-02-05,NVDA,,,,,
1962-02-05,UNH,,,,,
1962-02-05,WMT,,,,,
1962-02-05,ZSPC,,,,,
1962-02-06,AMZN,,,,,
1962-02-06,COST,,,,,
1962-02-06,INLF,,,,,
1962-02-06,JNJ,0.06877094507217407,0.06893170710497223,0.06652138543080892,0.0,2289600.0
1962-02-06,NVDA,,,,,
1962-02-06,UNH,,,,,
1962-02-06,WMT,,,,,
1962-02-06,ZSPC,,,,,
1962-02-07,AMZN,,,,,
1962-02-07,COST,,,,,
1962-02-07,INLF,,,,,
1962-02-07,JNJ,0.06941366195678711,0.07198446232041533,0.06941366195678711,0.0,3369600.0
1962-02-07,NVDA,,,,,
1962-02-07,UNH,,,,,
1962-02-07,WMT,,,,,
1962-02-07,ZSPC,,,,,
1962-02-08,AMZN,,,,,
1962-02-08,COST,,,,,
1962-02-08,INLF,,,,,
1962-02-08,JNJ,0.06861014664173126,0.07037769645147002,0.06828889995100841,0.0,1382400.0
1962-02-08,NVDA,,,,,
1962-02-08,UNH,,,,,
1962-02-08,WMT,,,,,
1962-02-08,ZSPC,,,,,
1962-02-09,AMZN,,,,,
1962-02-09,COST,,,,,
1962-02-09,INLF,,,,,
1962-02-09,JNJ,0.06844965368509293,0.06861013840904481,0.06716411266784605,0.0,777600.0
1962-02-09,NVDA,,,,,
1962-02-09,UNH,,,,,
1962-02-09,WMT,,,,,
1962-02-09,ZSPC,,,,,
1962-02-12,AMZN,,,,,
1962-02-12,COST,,,,,
1962-02-12,INLF,,,,,
